,'LCPI','LIP','FF','GS1','GS2','EBP'
'01-Feb-1992 00:00:00',493.1592,412.3853,4.06,4.29,5.21,-0.013052
'01-Mar-1992 00:00:00',493.5193,413.1774,3.98,4.63,5.69,-0.03771
'01-Apr-1992 00:00:00',493.7347,413.8881,3.73,4.3,5.34,-0.01459
'01-May-1992 00:00:00',493.9497,414.2433,3.82,4.19,5.23,-0.096207
'01-Jun-1992 00:00:00',494.2357,414.2374,3.76,4.17,5.05,-0.148848
'01-Jul-1992 00:00:00',494.5208,415.0985,3.25,3.6,4.36,-0.233425
'01-Aug-1992 00:00:00',494.734,414.5967,3.3,3.47,4.19,-0.063198
'01-Sep-1992 00:00:00',494.9469,414.8119,3.22,3.18,3.89,0.010572
'01-Oct-1992 00:00:00',495.3712,415.5916,3.1,3.3,4.08,0.000714
'01-Nov-1992 00:00:00',495.6531,416.0084,3.09,3.68,4.58,0.050682
'01-Dec-1992 00:00:00',495.7938,416.0321,2.92,3.71,4.67,0.082522
'01-Jan-1993 00:00:00',496.1445,416.525,3.02,3.5,4.39,0.03413
'01-Feb-1993 00:00:00',496.3544,416.8922,3.03,3.39,4.1,-0.011742
'01-Mar-1993 00:00:00',496.494,416.8546,3.07,3.33,3.95,0.000532
'01-Apr-1993 00:00:00',496.8423,417.1552,2.96,3.24,3.84,0.005023
'01-May-1993 00:00:00',497.1201,416.8035,3,3.36,3.98,-0.010239
'01-Jun-1993 00:00:00',497.1895,417.0112,3.04,3.54,4.16,-0.092369
'01-Jul-1993 00:00:00',497.3279,417.3179,3.06,3.47,4.07,-0.098521
'01-Aug-1993 00:00:00',497.5353,417.2778,3.03,3.44,4,-0.126471
'01-Sep-1993 00:00:00',497.6734,417.7493,3.09,3.36,3.85,-0.038514
'01-Oct-1993 00:00:00',498.0863,418.4828,2.99,3.39,3.87,-0.111725
'01-Nov-1993 00:00:00',498.3607,418.8867,3.02,3.58,4.16,-0.169558
'01-Dec-1993 00:00:00',498.5659,419.3894,2.96,3.61,4.21,-0.200074
'01-Jan-1994 00:00:00',498.5659,419.7906,3.05,3.54,4.14,-0.269455
'01-Feb-1994 00:00:00',498.839,419.8418,3.25,3.87,4.47,-0.459178
'01-Mar-1994 00:00:00',499.1113,420.8644,3.34,4.32,5,-0.350492
'01-Apr-1994 00:00:00',499.1792,421.3944,3.56,4.82,5.55,-0.320025
'01-May-1994 00:00:00',499.3828,421.942,4.01,5.31,5.97,-0.319522
'01-Jun-1994 00:00:00',499.6536,422.6045,4.25,5.27,5.93,-0.36392
'01-Jul-1994 00:00:00',499.9911,422.7623,4.26,5.48,6.13,-0.323668
'01-Aug-1994 00:00:00',500.3946,423.3295,4.47,5.56,6.18,-0.296783
'01-Sep-1994 00:00:00',500.5958,423.6468,4.73,5.76,6.39,-0.42854
'01-Oct-1994 00:00:00',500.6627,424.516,4.76,6.11,6.73,-0.326659
'01-Nov-1994 00:00:00',500.9301,425.1532,5.29,6.54,7.15,-0.30399
'01-Dec-1994 00:00:00',501.1302,426.1916,5.45,7.14,7.59,-0.253074
'01-Jan-1995 00:00:00',501.3963,426.3864,5.53,7.05,7.51,-0.273132
'01-Feb-1995 00:00:00',501.6617,426.3228,5.92,6.7,7.11,-0.327196
'01-Mar-1995 00:00:00',501.8604,426.4824,5.98,6.43,6.78,-0.329607
'01-Apr-1995 00:00:00',502.2564,426.4395,6.05,6.27,6.57,-0.259701
'01-May-1995 00:00:00',502.4538,426.7027,6.01,6,6.17,-0.401863
'01-Jun-1995 00:00:00',502.6508,427.0672,6,5.64,5.72,-0.187211
'01-Jul-1995 00:00:00',502.782,426.6815,5.85,5.59,5.78,-0.346603
'01-Aug-1995 00:00:00',502.9784,427.9903,5.74,5.75,5.98,-0.248873
'01-Sep-1995 00:00:00',503.1091,428.3589,5.8,5.62,5.81,-0.207413
'01-Oct-1995 00:00:00',503.3701,428.1811,5.76,5.59,5.7,-0.178842
'01-Nov-1995 00:00:00',503.5003,428.4396,5.8,5.43,5.48,-0.095936
'01-Dec-1995 00:00:00',503.6303,428.8258,5.6,5.31,5.32,-0.087709
'01-Jan-1996 00:00:00',504.1488,428.1644,5.56,5.09,5.11,-0.116741
'01-Feb-1996 00:00:00',504.3425,429.747,5.22,4.94,5.03,-0.330019
'01-Mar-1996 00:00:00',504.6646,429.5916,5.31,5.34,5.66,-0.340443
'01-Apr-1996 00:00:00',505.0497,430.4256,5.22,5.54,5.96,-0.294273
'01-May-1996 00:00:00',505.2417,431.1198,5.24,5.64,6.1,-0.327362
'01-Jun-1996 00:00:00',505.4333,432.0053,5.27,5.81,6.3,-0.303977
'01-Jul-1996 00:00:00',505.6246,431.873,5.4,5.85,6.27,-0.373247
